data/control.2/000.gpr			data/control.2/030.gpr			data/control.2/060.gpr			data/control.2/180.gpr			
AVT6	YER119C	0.0	LYS5	YGL154C	0.0361854440011	SDT1	YGL224C	-0.185825890665	APL6	YGR261C	0.0956614718499
SCS2	YER120W	0.0	AIM14	YGL160W	0.324185444001	OST5	YGL226C-A	-0.0428258906648	FOL2	YGR267C	-0.38833852815
GLO3	YER122C	0.0	BUD13	YGL174W	-0.438814555999	EMC4	YGL231C	0.307174109335	YGR269W	YGR269W	-0.42833852815
DSE1	YER124C	0.0	ATG1	YGL180W	0.154185444001	APL6	YGR261C	-0.160825890665	ZUO1	YGR285C	-0.14933852815
NSA2	YER126C	0.0	STR3	YGL184C	-0.773814555999	SAY1	YGR263C	-0.314825890665	PRS3	YHL011C	-0.39533852815
YER128W	YER128W	0.0	YIP4	YGL198W	-0.0558145559989	YGR265W	YGR265W	-0.376825890665	RPS20	YHL015W	-0.56433852815
YER140W	YER140W	0.0	EMP24	YGL200C	0.622185444001	FOL2	YGR267C	-0.631825890665	APM2	YHL019C	-0.10333852815
MAG1	YER142C	0.0	ARO8	YGL202W	-0.121814555999	YGR269W	YGR269W	-0.434825890665	RPL8A	YHL033C	-0.27633852815
UBP5	YER144C	0.0	YGL204C	YGL204C	-0.391814555999	YGR283C	YGR283C	-0.689825890665	VMR1	YHL035C	-0.11833852815
SPT15	YER148W	0.0	CHC1	YGL206C	0.0591854440011	ZUO1	YGR285C	-0.444825890665	YHL037C	YHL037C	-0.53533852815
SPI1	YER150W	0.0	SIP2	YGL208W	-0.0378145559989	YHL009W-B	YHL009W-B	-0.579825890665	YHL039W	YHL039W	-0.58433852815
YER163C	YER163C	0.0	OST5	YGL226C-A	-0.123814555999	PRS3	YHL011C	-0.823825890665	YRB2	YIL063C	-0.37733852815
PAB1	YER165W	0.0	VID30	YGL227W	-0.139814555999	RPS20	YHL015W	-0.153825890665	FIS1	YIL065C	0.11066147185
BCK2	YER167W	0.0	SAP4	YGL229C	0.411185444001	APM2	YHL019C	0.151174109335	RPS24B	YIL069C	-0.44433852815
RPH1	YER169W	0.0	EMC4	YGL231C	0.349185444001	RPL8A	YHL033C	-0.0958258906648	PCI8	YIL071C	-0.55933852815
RAD3	YER171W	0.0	APL6	YGR261C	0.249185444001	SNP1	YIL061C	0.274174109335	KTR7	YIL085C	-0.34733852815
RAD24	YER173W	0.0	SAY1	YGR263C	0.169185444001	YRB2	YIL063C	-0.0278258906648	AIM19	YIL087C	0.0986614718499
INO80	YGL150C	0.0	FOL2	YGR267C	-0.430814555999	FIS1	YIL065C	0.426174109335	YIL091C	YIL091C	-0.16433852815
