ID	Name	t0	t30	pval
YJL017W	YJL017W	0	2.44243454374	0.000385852090032154
YLL053C	YLL053C	0	2.48943454374	0.000385852090032154
YLR345W	YLR345W	0	2.18343454374	0.000385852090032154
YOL127W	RPL25	0	-2.09556545626	0.000385852090032154
YJL136C	RPS21B	0	-2.12056545626	0.000385852090032154
YLR157C	ASP3-2	0	-2.21056545626	0.000385852090032154
YPR158W	CUR1	0	2.28843454374	0.000385852090032154
YPR184W	GDB1	0	2.40543454374	0.000385852090032154
YDR059C	UBC5	0	2.06543454374	0.000514469453376206
YNL017C	YNL017C	0	2.06943454374	0.000514469453376206
YDL083C	RPS16B	0	-2.05956545626	0.000514469453376206
YBR025C	OLA1	0	1.97843454374	0.000643086816720257
YCL033C	MXR2	0	1.78543454374	0.000643086816720257
YCL035C	GRX1	0	2.00143454374	0.000643086816720257
YDR055W	PST1	0	1.88243454374	0.000643086816720257
YDR057W	YOS9	0	1.93643454374	0.000643086816720257
YIL069C	RPS24B	0	-1.95556545626	0.000643086816720257
YKR046C	PET10	0	2.02543454374	0.000643086816720257
YKR066C	CCP1	0	2.00043454374	0.000643086816720257
YLR203C	MSS51	0	1.74943454374	0.000643086816720257
YOL036W	YOL036W	0	1.86443454374	0.000643086816720257
YOL040C	RPS15	0	-1.90556545626	0.000643086816720257
YBR149W	ARA1	0	1.83943454374	0.000643086816720257
YDL055C	PSA1	0	-2.01356545626	0.000643086816720257
YDL075W	RPL31A	0	-1.91556545626	0.000643086816720257
YDR178W	SDH4	0	1.87543454374	0.000643086816720257
YGR143W	SKN1	0	1.85443454374	0.000643086816720257
YJL082W	IML2	0	1.78943454374	0.000643086816720257
YMR175W	SIP18	0	1.81743454374	0.000643086816720257
YNL064C	YDJ1	0	1.92443454374	0.000643086816720257
YOR164C	GET4	0	1.79843454374	0.000643086816720257
YDL061C	RPS29B	0	-1.78356545626	0.000643086816720257
YLR075W	RPL10	0	-1.94256545626	0.000643086816720257
YMR142C	RPL13B	0	-2.00956545626	0.000643086816720257
YOR044W	IRC23	0	1.83343454374	0.000643086816720257
YOR052C	YOR052C	0	1.91043454374	0.000643086816720257
YGR010W	NMA2	0	2.02843454374	0.000643086816720257
YGR028W	MSP1	0	1.80043454374	0.000643086816720257
YIL157C	COA1	0	1.97043454374	0.000643086816720257
YJR099W	YUH1	0	1.76543454374	0.000643086816720257
YJR123W	RPS5	0	-1.81056545626	0.000643086816720257
YLL051C	FRE6	0	1.93543454374	0.000643086816720257
YMR110C	HFD1	0	1.90043454374	0.000643086816720257
YNL122C	YNL122C	0	1.76243454374	0.000643086816720257
YDL217C	TIM22	0	-1.86056545626	0.000643086816720257
